,Date,Process,Process ID,Message,Annee,Mois,Info
0,2016-06-09 06:06:20,syslogd,,restart.,2016,6,
1,2016-06-09 06:06:20,syslog,,syslogd startup succeeded,2016,6,success
2,2016-06-09 06:06:20,syslog,,klogd startup succeeded,2016,6,success
3,2016-06-09 06:06:20,kernel,,"klogd 1.4.1, log source = /proc/kmsg started.",2016,6,
4,2016-06-09 06:06:20,kernel,,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,2016,6,
5,2016-06-09 06:06:20,kernel,,BIOS-provided physical RAM map:,2016,6,
6,2016-06-09 06:06:20,kernel,, BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),2016,6,
7,2016-06-09 06:06:20,kernel,, BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),2016,6,
8,2016-06-09 06:06:20,kernel,, BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),2016,6,
9,2016-06-09 06:06:20,kernel,, BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),2016,6,
10,2016-06-09 06:06:20,kernel,, BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),2016,6,
11,2016-06-09 06:06:20,kernel,,0MB HIGHMEM available.,2016,6,
12,2016-06-09 06:06:20,kernel,,126MB LOWMEM available.,2016,6,
13,2016-06-09 06:06:20,kernel,,zapping low mappings.,2016,6,
14,2016-06-09 06:06:20,kernel,,On node 0 totalpages: 32430,2016,6,
15,2016-06-09 06:06:20,kernel,,"  DMA zone: 4096 pages, LIFO batch:1",2016,6,
16,2016-06-09 06:06:20,kernel,,"  Normal zone: 28334 pages, LIFO batch:6",2016,6,
17,2016-06-09 06:06:20,kernel,,"  HighMem zone: 0 pages, LIFO batch:1",2016,6,
18,2016-06-09 06:06:20,kernel,,DMI 2.3 present.,2016,6,
19,2016-06-09 06:06:20,kernel,,ACPI disabled because your bios is from 2000 and too old,2016,6,
20,2016-06-09 06:06:20,kernel,,You can enable it with acpi=force,2016,6,
21,2016-06-09 06:06:20,kernel,,Built 1 zonelists,2016,6,
22,2016-06-09 06:06:20,irqbalance,,irqbalance startup succeeded,2016,6,success
23,2016-06-09 06:06:20,kernel,,Kernel command line: ro root=LABEL=/ rhgb quiet,2016,6,
24,2016-06-09 06:06:20,kernel,,mapped 4G/4G trampoline to ffff3000.,2016,6,
25,2016-06-09 06:06:20,kernel,,Initializing CPU#0,2016,6,
26,2016-06-09 06:06:20,portmap,,portmap startup succeeded,2016,6,success
27,2016-06-09 06:06:20,kernel,,"CPU 0 irqstacks, hard=02345000 soft=02344000",2016,6,
28,2016-06-09 06:06:20,kernel,,PID hash table entries: 512 (order 9: 4096 bytes),2016,6,
29,2016-06-09 06:06:20,kernel,,Detected 731.214 MHz processor.,2016,6,
